tld,cnt
linkoping.se,91
schweizerfamilie.ch,90
unicreditgroup.eu,90
elmundo.es,90
rmsystem.cz,90
marche.it,90
ing.de,90
utels.ua,90
crr.cz,90
orlenlietuva.lt,90
avia.lt,90
rc-innovations.es,90
hoponhopoff.be,90
energyville.be,90
saoneetloire.fr,90
dszo.cz,90
kr-vysocina.cz,90
groningen.nl,90
gladbeck.de,90
laregion.fr,90
energiestadt.ch,90
enagas.es,90
armee.lu,90
seikan-ferry.jp,90
hotelleriesuisse.ch,90
cz/aobp.cz,90
maureletprom.fr,90
tiesibsargs.lv,90
bever-bievene.be,90
orange.lu,90
saarland.de,90
uestra.de,90
ehiweb.it,90
utrecht.nl,90
snav.it,90
horsens.dk,90
cz/edalnice.cz,90
pl/sprint.pl,90
pzlmielec.pl,88
fi/stt.fi,88
nhv.be,88
telefonica.es,88
rmf24.pl,88
stadt-koennern.de,88
wir-in-salzburg.at,88
cspsd.cz,88
motorst.dk,88
kajakallas.ee,88
scb.se,88
snaige.lt,88
kiel.de,88
aklakair.ca,88
metsa.fi,88
ns.nl,88
bayerischerhof.de,88
bornholms-lufthavn.dk,88
credit-agricole.pl,87
tech,87
veniceairport.it,87
idos.cz,87
cfrcalatori.ro,86
camera.it,86
e-prail.ro,86
commerzbank.de,86
wroc.pl,85
acli.it,85
fininvest.it,85
vrsa.lt,85
newamsterdam.pl,85
forsakringskassan.se,85
forsvaret.dk,85
ennamagazine.it,85
presserat.ch,85
rc3d.ch,85
penize.cz,85
psl.pl,85
eismoinfo.lt,85
kaunoenergija.lt,85
toll-collect.de,85
bka.de,85
mbank.pl,85
stockholm,84
buochs.ch,84
verdaechtig-gute-jobs.de,84
mze.cz,84
fvg.it,84
allschwil.ch,84
cz/ezu.cz,84
brrc.be,84
roskilde.dk,84
effix.be,84
randers.dk,84
elia.be,84
velib-metropole.fr,84
nacex.es,84
corsica,84
bcv.ch,84
zuid-holland.nl,84
chamber.no,84
a4-szybko.pl,84
hainaut.be,84
idcj.jp,84
afer.ro,84
vgregion.se,84
adligenswil.ch,84
movelia.es,83
wienmobil.at,83
icn.ua,82
ux.ua,82
remontowa-rsb.pl,81
krakowairport.pl,81
credit-agricole.fr,81
kammarkollegiet.se,81
hamm.de,81
hoyre.no,81
telia.lt,81
navikon.pl,81
turku.fi,80
fpoe.at,80
ceskedrahy.cz,80
volkspartei.at,80
homecredit.cz,80
fi/elisa.fi,80
posol.de,80
redsara.es,80
n-factory.de,80
bdli.de,80
ca/thetyee.ca,80
stvp.at,80
ooevp.at,80
unicreditbulbank.bg,80
fr/eurolines.fr,80
dolnyslask.pl,80
vpbgld.at,80
villeurbanne.fr,80
portofnaantali.fi,80
knds.fr,80
hsw.pl,80
telenet.lv,80
pasientfokus.no,80
es/metropolitanogranada.es,80
dkom.si,80
emtvalencia.es,80
cfcs.dk,80
potenza.it,80
poppankki.fi,80
swb-busundbahn.de,80
irisnet.be,80
spoe.at,80
mmhk.cz,80
tiroler-vp.at,80
wnet.ua,80
cic.fr,80
gruene.at,80
seresco.es,80
dievolkspartei.at,80
pl.ua,80
usti.cz,80
raiffeisen.al,79
fi/vayla.fi,79
odg.it,79
panorama.it,78
basilicata.it,78
caltanissetta.it,78
justice.cz,78
salzwedel.de,78
arnhem.nl,78
czechpoint.cz,78
gaso.lv,78
siteitosi.jp,78
lursoft.lv,78
assemblee-nationale.fr,78
dars.si,78
helaba.de,78
perazzi.it,78
plb.pl,78
amaco.es,78
zkb.ch,78
supo.fi,78
hautsdefrance.fr,78
ra.it,78
matka.fi,78
mc-bauchemie.de,78
ventbunkers.lv,78
centrair.eu,77
plusbus-deutschland.de,77
geuzenet.nl,77
nrsr.sk,77
gardelegen.de,77
eliagroup.eu,77
cre.fr,77
provincialairlines.ca,77
luganoairport.ch,77
ostbelgienlive.be,77
agenziaindustriedifesa.it,77
bbva.es,77
dskdirect.bg,77
panostaja.fi,77
stadt-kriens.ch,77
gemeindewahlen.be,77
kielce.eu,77
dotaceeu.cz,77
vodafone.de,77
fnmt.es,77
mhm-modellbau.de,76
dijon.fr,76
kinamo.be,76
nexxwave.be,76
groningenairport.nl,76
palanga-airport.lt,75
lrvalstybe.lt,75
pohjolanvoima.fi,75
fonq.nl,75
pfrventures.pl,75
vevey.ch,75
judu.lt,75
plusbank24.pl,75
ccbank.bg,75
nano.lv,75
pidlitacka.cz,75
corendon.nl,75
dzbank.de,75
lontzen.be,75
cargobus.lt,75
sydbank.dk,74
swisspass.ch,74
se/blekingetrafiken.se,74
ine.es,74
bonn.de,74
essen.de,74
pekaobiznes24.pl,74
boreal.no,73
ffvelo.fr,72
flobecq.be,72
bundesanzeiger.de,72
tessellis.it,72
gem-boerdeland.de,72
diekirch.lu,72
unvi.es,72
umwelt-plakette.de,72
cust.lt,72
engelmt.de,72
schwarzbeck.de,72
csa.cz,72
modlinairport.pl,72
zeeland.nl,72
mobiliteit.lu,72
bolagsverket.se,72
merkur.de,72
energa-oswietlenie.pl,72
storebaelt.dk,72
elsen.pl,72
pap.pl,72
carm.es,72
tz.de,72
konservativt.no,72
let.cz,72
czso.cz,72
tvp.pl,72
oberhausen.de,72
unipol.it,72
kookas.fi,72
telekom.de,72
eurovision-basel.ch,72
associazionemagistrati.it,72
opfikon.ch,72
stockholm.se,72
peoplepowerparty.kr,72
still.de,72
verdi.de,72
portal.at,72
kathleenvanbrempt.be,72
finlex.fi,72
evercom.pl,72
mainschool.ua,72
idsok.cz,72
abendzeitung-muenchen.de,72
egov.md,72
engie-electrabel.be,72
fr-online.de,72
bundeswirtschaftsministerium.de,72
hba.gr,72
delage.fr,72
gruppoa2a.it,72
altmarkkreis-salzwedel.de,72
govilnius.lt,72
ekn.se,71
vancouver.ca,71
lnb.lt,71
kaiserslautern.de,70
sicilia.it,70
vucbb.sk,70
rst.lt,70
ringtv.be,70
porschebank.at,70
kk.dk,70
ee/pilet.ee,70
burgenlandkreis.de,70
lt/nlbus.lt,70
lmt.lv,70
emilia-romagna.it,70
bvl.de,70
fi/paarautatieasema.fi,70
moenchengladbach.de,70
siracusa.it,70
nos.pt,70
dujos.lt,70
intermodel.fr,70
energie-mediateur.fr,70
logius.nl,70
edison.it,70
lanet.ua,70
aalborg.dk,70
bulle.ch,70
kraj-lbc.cz,70
liepajas-tramvajs.lv,70
celnisprava.cz,70
cert.lv,70
x-city.ua,70
dot.lt,70
ktelthes.gr,70
florenc.cz,70
ses.sk,70
gdanskshipyard.pl,69
hnb.hr,69
abc-d.be,69
teatras.lt,69
bezpartyjnisamorzadowcy.pl,69
dnb.lt,69
lemu.lt,69
net.lv,68
sige.ch,68
nashagazeta.ch,68
aerts.eu,68
ubb.bg,68
bnm.md,68
ljkka.lt,68
akt.no,68
skylink.cz,68
bbr.bg,68
ratp-m2e.fr,68
inps.it,68
guichet-citoyen.be,67
guardiacivil.es,67
um.fi,67
kam.lt,67
ragusa.it,66
zoosodas.lt,66
kherson.ua,66
regjeringen.no,66
toldst.dk,66
otakantaa.fi,66
airdolomiti.it,66
mod.uk,66
jannehakkarainen.fi,66
ciurlionis.lt,66
allegro.cz,66
iliad.fr,66
febelgra.be,66
interia.pl,66
milanofinanza.it,66
tunap.de,66
pinbank.ua,66
ooevv.at,66
ktelattikis.gr,66
lotnisko-chopina.pl,66
ltou.lt,66
lombardia.it,66
biel-bienne.ch,66
axabank.be,65
cloudprovider.nl,65
studiosport.fr,65
ittigen.ch,65
gerc.ua,65
orlenoil.pl,65
kojamo.fi,65
doubs.fr,65
ferde.no,65
sefe-energy.eu,65
weuaplus.tv,65
ruter.no,65
oenb.at,65
esfcr.cz,64
tbb.ee,64
blue-bike.be,64
dt-rs.si,64
metro-sevilla.es,64
almamedia.fi,64
kaunas-airport.lt,64
polskieradio24.pl,64
radiokolor.pl,64
denmark.dk,64
snb.ch,63
denhaag.nl,63
telenor.dk,63
oxilion.nl,63
bankinter.es,63
swisscom.ch,63
citywest.ca,63
poltramp.pl,63
szutest.cz,63
jaunimoteatras.lt,63
vlaamsparlement.be,63
lahitapiola.fi,63
billund.dk,63
justitieleictorganisatie.nl,63
cert.pl,63
eherkenning.nl,63
krefeld.de,63
pfiala.cz,63
burlington.ca,62
vilvigroup.lt,62
bafin.de,61
autoosta.lv,60
differdange.lu,60
schengen.lu,60
megatrade.ua,60
cmb.be,60
bulbankonline.bg,60
fi/finnpilot.fi,60
vng.de,60
paysera.lt,60
liepaja-airport.lv,60
svetelnaposta.sk,60
duisburg.de,60
brescia.it,60
opendatabot.ua,60
vianden.lu,60
hagen.de,60
tango.lu,60
aosta.it,60
tochigi-tv.jp,60
amsbus.cz,60
creand.es,60
letnany-airport.cz,60
parkovanivbrne.cz,60
gr.jp,60
visithaarlemmermeer.nl,60
portauthority.hr,60
poh.cz,60
kranj.si,60
post.lu,60
zug.ch,60
elpako.lt,60
telecom.pt,60
millog.fi,60
nkom.no,60
stiftung-moritzburg.de,60
lecese.fr,60
meo.pt,60
tsu.ua,60
postnl.nl,60
magdeburgerdom.de,60
ca/rabble.ca,60
dfs.no,60
remscheid.de,60
mvr.bg,60
potsdam.de,60
likumi.lv,60
tiesas.lv,60
harzgerode.de,60
dihk.de,60
mb.ca,60
auvergnerhonealpes.fr,60
tilburg.nl,60
helvetia.es,60
ikiosek.cz,60
kalbe-milde.de,60
vantaa.fi,60
ettelbruck.lu,60
almere.nl,60
tstservis.cz,60
free.fr,60
vanad.cz,60
t-mobile.pl,59
bsbrodnica.pl,58
steinsel.lu,58
socialdemokraterna.se,58
noi.md,58
rubis.fr,58
hebu-shop.ch,57
adst.dk,57
lovdata.no,57
rechtspraak.nl,57
bccroma.it,57
jonathan.it,57
thedanishparliament.dk,57
cdcargo.cz,57
evr.ee,57
bkb.ch,57
pwt.ca,57
ose.gr,57
engie-homeservices.fr,56
norskpetroleum.no,56
riga.lv,56
geneve.ch,56
freezl.pl,56
gov.ee,56
nieuwsblad.be,56
forum-ekonomiczne.pl,56
verslosavaite.lt,56
saskatchewan.ca,56
csalb.ro,56
verbundlinie.at,56
bc.ca,56
coldiretti.it,56
zuglogin.ch,56
victoriabank.md,56
olomouc.eu,56
bancosantander.es,56
gyldendal.dk,56
diena.lt,56
rtbf.be,56
myprovence.fr,56
eq.fi,56
sst.cz,56
ballenstedt.de,56
bau.ua,56
nu.ca,56
cz/csirt.cz,56
naumburger-dom.de,56
spiebatignolles.fr,56
bundesheer.at,55
wiesbaden.de,55
com.tr,55
pfrtfi.pl,55
vbl.ch,55
foggia.it,55
sassari.it,55
bond.ua,55
planeetta.fi,55
eltrona.lu,55
puglia.it,55
dublinbus.ie,55
bde.se,55
bergischgladbach.de,55
airport.kr,55
bank.lv,55
zg.ch,55
baar.ch,55
zlinskykraj.cz,54
apeldoorn.nl,54
eso.lt,54
skane.se,54
lodz.pl,54
ac.uk,54
gov.bg,54
cedacri.it,54
limbach-oberfrohna.de,54
sfp.fi,54
stumbras.lt,54
eumostwanted.eu,54
energa-wytwarzanie.pl,54
regierung.li,54
ecublens.ch,54
labanquepostale.fr,54
premium-modellbau.de,54
satellic.be,54
jurmala.lv,54
presse-oebb.at,54
hamburg,54
feulen.lu,54
partnerstocznia.pl,54
elster.de,54
haarlem.nl,54
altibox.no,54
allsoft.ua,54
hamburg.de,53
cortedicassazione.it,53
no/ruter.no,52
tmr.sk,52
varese.it,52
pilet.ee,52
nordica.ee,52
thunderbay.ca,52
ttc.ca,52
orsted.dk,52
mojeid.cz,52
kovopb.cz,52
bg/dskbank.bg,52
oschadbank.ua,52
novomesto.si,52
idnes.cz,52
ollirehn2024.fi,52
erzgebirgskreis.de,52
polis.ua,52
nl.ca,52
bpost.be,52
foli.fi,52
constcourt.md,52
sv.no,52
citywindsor.ca,52
be.ch,52
jona.ch,52
peatus.ee,52
francetvpub.fr,52
naalakkersuisut.gl,52
dietikon.ch,52
sh.ch,52
nrc.nl,52
146.31,51
chamber.ca,51
flughafen-muenchen.de,51
dotintranetas.lt,51
jelgava.lv,51
identitaobcana.cz,51
eurochem.ee,51
orange.md,51
achemosgrupe.lt,51
gsis.gr,51
gravisnet.lv,50
datasafe.fi,50
alsace.eu,50
ani.lv,50
ua/tsn.ua,50
bverwg.de,50
hitfm.ua,50
ventspils.lv,50
asbe.lv,50
suitableshop.nl,50
bite.lv,50
tax-on-web.be,50
lidaris.lt,50
nordnet.se,50
proximus.lu,50
alltricks.pt,50
micb.md,50
keramika.lt,50
citapreviadnie.es,50
kristdemokraterna.se,50
generalbundesanwalt.de,50
parkimine.ee,50
mapy.cz,49
szn.cz,49
belspo.be,49
mitid.dk,49
italotreno.it,49
nauta.pl,49
namur.be,49
vivaqua.be,49
ingdirect.es,49
wsr-dg.be,48
boerse-frankfurt.de,48
nt.ca,48
am-switzerland.ch,48
sosnowiec.pl,48
skatteforvaltningen.dk,48
rvr.lv,48
ckt.lt,48
sierre.ch,48
garr.it,48
bw-bank.de,48
inpartiet.no,48
wpolityce.pl,48
aena-aeropuertos.es,48
nssm.no,48
inatsisartut.gl,48
uradfm.cz,48
polityka.pl,48
ditfurt.de,48
unsa-mobilite.fr,48
landkreis-wittenberg.de,48
telekom.si,48
rjc.nl,48
riksbank.se,48
pzlswidnik.pl,48
alfe.cz,48
tours.lv,48
politicheagricole.it,48
ctguyane.fr,48
dz-rs.si,48
viatoll.pl,48
digdir.no,48
axa.es,48
cn.ca,48
n,48
info-retraite.fr,48
gov.cy,48
sivilrett.no,48
voldgiftsinstituttet.dk,48
cadiz.es,48
creditmutuel.fr,48
blt.ch,48
saintjohn.ca,48
breda.nl,48
aigle.ch,48
calbe.de,48
kreis-slk.de,48
naumburg.de,48
nadsoft.co,48
nijmegen.nl,48
cologny.ch,48
cloudeng.it,48
paradores.es,48
tatra.cz,48
energy,48
swissquote.ch,48
bvb.ch,48
cugc.es,48
alita.lt,48
azp.si,48
wirtschaftsfoerderung-hannover.de,48
arbitrobancariofinanziario.it,48
druskininkai.lt,48
transaviabaltika.lt,47
terminal.lt,47
kelowna.ca,46
oxhamn.se,46
navantia.es,46
karlshamnshamn.se,46
konfederacja.pl,45
dtvp.de,45
vkg.ee,45
kn.lt,45
lansstyrelsen.se,45
tele2.lv,45
ignitisgrupe.lt,45
lndm.lt,45
bce.ca,45
swedbank.ee,45
diputaciondevalladolid.es,45
edislab.lt,45
niedersachsen.de,45
leverkusen.de,45
unsk.sk,45
ua/nv.ua,45
cnes.fr,45
cesewallonie.be,45
evergabe-online.de,45
noitel.it,45
eu/ewybory.eu,45
vto.lv,45
al/tirana.al,45
zkg.lv,45
onlinebus.cz,45
opera.lt,45
electronic-vignette.cz,45
dalsland.se,45
smeral.cz,44
sullissivik.gl,44
wittenberg.de,44
media,44
banie.pl,44
victoria.ca,44
allweb.be,44
ca/yukon.ca,44
envelo.pl,44
bondspot.pl,44
princeedwardisland.ca,44
isdefe.es,44
nkp.no,44
bcge.ch,44
na.it,44
montpellier3m.fr,44
maehdros.be,44
alpha.gr,44
posteitaliane.it,44
ca/cutaactu.ca,44
hrad.cz,44
koethen-anhalt.de,44
cesnet.cz,44
gnb.ca,44
correosprepago.es,44
mtu.de,44
flandersmake.be,44
port-of-nagoya.jp,44
ombudsmand.gl,44
gov.pt,44
energia.ee,43
zonhoven.be,43
portofhalifax.ca,42
riskcompliance.pl,42
deutschlandticket.de,42
circumetnea.it,42
energa-kogeneracja.pl,42
bio-invest.be,42
vejafgifter.dk,42
bikecity.nl,42
lemland.ax,42
kasastefczyka.pl,42
postaalpunt.be,42
businessinfo.cz,42
altice.pt,42
zek.ch,42
bradycanada.ca,42
smart-met.eu,42
bmv.de,42
delo.ua,42
hlidacstatu.cz,42
achema.lt,42
wprost.pl,42
en-marche.fr,42
faktakontroll.se,42
umbria.it,42
energaostroleka.pl,42
folksam.se,42
norge.no,42
fastweb.it,41
maps.lt,41
lt/lakd.lt,41
pst.lt,41
autopass.no,41
cv.ua,40
no/bpsnord.no,40
veneto.it,40
cvma.ca,40
kfir.no,40
hema.nl,40
sunclassairlines.dk,40
redarrow.ca,40
anhalt-bitterfeld.de,40
predsednica-slo.si,40
edmonton.ca,40
bfk.no,40
bierpartei.eu,40
ville-grenoble.fr,40
shpower.ch,40
cdu.de,40
wanzleben.de,40
windtregroup.it,40
lifecell.ua,40
yk.ca,40
eurolines.fr,40
resrobot.se,40
abc.es,40
lalegion.es,40
toulon.fr,40
thansen.dk,40
wienerzeitung.at,40
lazio.it,40
blekingetrafiken.se,40
dgtinfo.es,40
keltas.lt,40
upgraderc.be,40
vilniausenergija.lt,40
telia.dk,40
portthunderbay.ca,40
haavisto2024.fi,40
degtine.lt,40
eurobank.gr,40
novascotia.ca,40
insta.fi,40
liguria.it,40
ssc-ict.nl,40
sn.at,40
viarail.ca,40
parlament.al,40
saalekreis.de,40
diesdorf.de,40
pigu.lt,40
erna.no,40
grandest.fr,40
um.dk,40
chd.lu,40
trend.at,40
al/hekurudha.al,40
ppa.hr,40
it-ausschreibung.de,40
enna.it,40
polsatnews.pl,40
citadele.ee,40
liandersson.fi,40
bologna.it,40
manabite.lv,40
portunus.hr,40
dramosteatras.lt,39
eckero.ax,39
halle.de,39
haldensleben.de,39
skarbnytsia.ua,39
omv.ro,39
sd.se,39
dgt.es,39
lihk.li,39
iweps.be,39
pl/integritypartners.pl,39
marktkirche-halle.de,39
ri.se,39
clearenergy.ua,39
winnipeg.ca,39
yukon.ca,39
u-bahn-muenchen.de,39
scannet.dk,39
liefkenshoektunnel.be,38
fintraffic.fi,38
swissid.ch,38
aiac.ca,38
crinantonescu.ro,38
bonventure.de,38
mnt.ee,38
ayats.es,38
cfa-fca.ca,38
dlp-expert.pl,38
domstol.dk,38
stadtmuseumhalle.de,38
ksusv.cz,38
ksusk.cz,38
metropolitanadinapoli.it,38
hopaports.ca,38
northman.pl,38
nsm.no,37
pbz.hr,37
panasonic,37
trampadova.it,36
eas.ee,36
resursbank.se,36
tangerhuette.de,36
polizei-praevention.de,36
jemogfix.dk,36
publicprocurement.be,36
wisemove.ca,36
wanzleben-boerde.de,36
xyz,36
welkenraedt.be,36
bezrindas.lv,36
calgary.ca,36
lu/circl.lu,36
trzcinsko-zdroj.pl,36
orizon-navigation.ua,36
banumuscel.ro,36
banenor.no,36
stassfurt.de,36
czechtourism.cz,36
lkjl.de,36
gassco.eu,36
merseburger-dom.de,36
holding-graz.at,36
energieag.at,36
eem.se,36
banenorlogger.no,36
panevezysnow.lt,36
tvnet.lv,36
bcrlocuinte.ro,36
tsk-praha.cz,36
nitra.sk,36
eesti.ee,36
uio.no,36
tender24.de,36
just-eat.es,36
tangermuende.de,36
schoenebeck.de,36
intesasanpaolobank.al,36
wog.ua,36
cert.si,36
puncovniurad.cz,36
agenziabpb.it,36
mil.gr,36
gov.kr,36
airmoldova.md,36
bode-holtemme.de,36
ruma.es,36
yamanashi.jp,35
landkreis-zwickau.de,35
vg-arendsee-kalbe.de,35
dirhami.ee,35
fm/lviv.fm,35
bcc.es,35
faicisl.it,35
nauta-hull.pl,35
fes.de,35
ingbank.pl,35
kanteleenvoima.fi,35
netiaonline.pl,35
mssf.cz,35
boleslawiec.pl,35
alumbradopublicomurcia.es,35
bahnhof.se,34
mbank.cz,34
taxi40100.at,34
ipkobiznes.pl,34
visaginas.lt,34
banskabystrica.sk,34
naurok.ua,34
liepaja.lv,34
pescara.it,34
elron.ee,34
bratislavskykraj.sk,34
psk.sk,34
rusko.lt,34
belgianrail.be,33
vivi.lv,33
verona.it,33
caib.es,33
szczecin.eu,33
kosice.sk,33
ravintolabase.fi,33
kurzemesregions.lv,33
vilniausbaldai.lt,33
ukrposhta.ua,33
korea.kr,33
academy,33
avl.lu,33
oscherslebenbode.de,33
przelewice.pl,33
mysliborz.pl,33
dfo.no,33
jelgavasnovads.lv,33
gruene-plakette.de,32
partiet-for.no,32
avancis.de,32
myvoo.be,32
pl/evention.pl,32
nomeo.be,32
grinda.lt,32
zilina.sk,32
sb.lt,32
cfwb.be,32
alexstubb.fi,32
a-trust.at,32
mobilnipenezenka.cz,32
rtm.fr,32
porezna-uprava.hr,32
nancy.fr,32
evn.at,32
surf.nl,32
lcl.be,32
gov.hr,32
uskk.cz,32
ceneje.si,32
podkarpackie.eu,31
spd-lsa.de,31
maxbanka.eu,31
augsdaugavasnovads.lv,30
rsst.lv,30
milanbergamoairport.it,30
iledefrance-mobilites.fr,30
mauritius-elisabeth.de,30
mfa.bg,30
kozielice.pl,30
luxexpress.eu,30
thebanks.eu,30
helen.fi,30
ville-fribourg.ch,30
hauptbahnhof-wien.at,30
dipucuenca.es,30
nl/a-bike.nl,30
seznamzpravy.cz,30
a-sit.at,30
vansterpartiet.se,30
220.lv,30
ieee.es,30
starnet.lv,30
musee-orsay.fr,30
ua/24tv.ua,30
kaisiadorys.lt,30
sweg.de,30
papa-appa.ca,30
die-linke.de,30
mmaviation.pl,30
pro,30
csc.lv,30
grupocooperativocajamar.es,30
kris.ax,30
yanosik.pl,30
worten.es,30
usske.sk,30
vidzeme.lv,30
vialet.lv,30
dguadalajara.es,30
winterthur.ch,30
eu/dagma.eu,30
valg.no,30
conexus.lv,30
net.tw,30
anwb.nl,30
nzz.ch,30
lipiany.pl,30
bbs.ua,30
vgt.lv,30
koninklijkhuis.nl,30
zse.hr,30
favbet.ua,30
ca/globalnews.ca,30
bremerhaven.de,30
csoc.pl,30
fm/informator.fm,30
localnet.fi,30
septiles.ca,30
sadalestikls.lv,30
viennacitycard.at,30
senukai.lt,30
luxembourg.be,30
rop.lv,30
piraeusbank.gr,30
trencin.sk,30
sanaplus.ua,30
russian.fi,30
energy-cert.at,30
bilesuserviss.lv,30
lg.lv,30
althingi.is,29
com4.no,29
fhcp.ca,28
aero.cz,28
hr/portauthority-sibenik.hr,28
nordstjernan.se,28
atviraklaipeda.lt,28
evofenedex.nl,28
tpilet.ee,28
asa.be,28
gemeinde-hoppegarten.de,28
wp.pl,28
no/avinor.no,28
uddevalla-hamn.se,28
lt/elpako.lt,28
aaltola2024.fi,28
confagricoltura.it,28
afd.de,28
richard-andersson.fi,28
progresivne.sk,28
epay.bg,28
dstny.be,28
ooe-landtag.at,28
onedrone.si,28
transfert-ratp.fr,28
silviupredoiu.ro,28
sakig.pl,28
mpo.cz,28
creandonlinebanking.es,28
akerarctic.fi,28
kvarkenports.se,28
kotadef.sk,28
tmleuven.be,27
silvan.dk,27
website,27
druskininkusavivaldybe.lt,27
dstny.dk,27
sj.no,27
nrb.cz,27
palma.es,27
butgenbach.be,27
regiojet.cz,27
cna.md,27
ndg.lt,27
hamina.fi,27
maximagrupe.eu,27
aschersleben.de,27
vanerhamn.se,27
regeringen.ax,27
cert.cz,27
feministinenpuolue.fi,26
komunalka.ua,26
lez-belgium.be,26
osterburg.de,26
stat.si,26
portquebec.ca,26
nku.cz,26
gemeinde-daehre.de,26
pl/atende.pl,26
stadt-bismark.de,26
steuern-nw.ch,26
bureauft.nl,26
dessau-rosslau.de,26
ynanp.gr,26
mindigital.gr,26
kelprojektas.lt,26
nkcr.cz,26
siuntosautobusais.lt,26
bolsasymercados.es,26
in.gr,26
padova.it,26
tovima.gr,26
sionaeroport.ch,26
ontarioparks.ca,25
salva.ee,25
fukushima.jp,25
nho.no,25
bcparks.ca,25
pho.pl,25
jtbank.cz,25
balticom.lv,25
lordnelsonhotel.ca,25
kalmarlanstrafik.se,25
vkm.no,24
alv-cr.cz,24
ds-rs.si,24
kanagawa.jp,24
bigbank.ee,24
sbvg.ch,24
communitech.ca,24
globalconnect.se,24
oskarshamn.se,24
finma.ch,24
mouvementdemocrate.fr,24
tartu.ee,24
digital,24
quirinale.it,24
iport.ua,24
tisseo.fr,24
minagric.gr,24
axxes.fr,24
egap.cz,24
mini-cab.ch,24
ngu.no,24
susvs.cz,24
kbp.cz,24
brittanyferries.io,24
okayama.jp,24
liikluskorraldus.ee,24
cdp.it,24
pl/radiokierowcow.pl,24
mosr.sk,24
piacenza.it,24
taxi-zentrale.ch,24
reale.es,24
louvre.fr,24
alberta.ca,24
sverigesradio.se,24
standaard.be,24
yamagata.jp,24
33ertaxi.ch,24
essens.no,24
fdiroma.it,24
commissariatodips.it,24
banky.cz,24
hautespyrenees.fr,24
kreditogarantas.lt,24
hbvl.be,24
bg/e-postbank.bg,24
raadvst-consetat.be,24
a1.si,23
ukrainianinpoland.pl,23
plk.pl,23
nask.pl,23
europeanspallationsource.se,22
air-caledonie.nc,22
rezeknesnovads.lv,22
gobcan.es,22
serv.si,22
stjohns.ca,22
afdfraktion-lsa.de,22
genobamuc.de,22
maggioli.it,22
veoauto.ee,22
enaire.es,22
villetavio.fi,22
finanzgruppe.de,22
wyborcza.pl,22
nationalcyberleague.es,22
telsiai.lt,22
odessa.tv,22
asstra.lt,21
flyingmachines.de,21
verbio.de,21
chiba.jp,21
curanet.dk,21
railanddrive.at,21
etalon.ua,21
netkablet.dk,21
bnpparibas.pl,21
rtc.lv,21
com.cy,21
gigantti.fi,21
cityway.fr,21
icu,21
zac-niedersachsen.de,21
divisioneconsumer.it,21
cssz.cz,21
norinnovainvest.no,21
maib.md,20
fi/tyomarkkinatori.fi,20
gent,20
eu/luxexpress.eu,20
portofventspils.lv,20
sepi.es,20
cata.ca,20
sumatoni.be,20
webservice.be,20
novara.it,20
rizospastis.gr,20
vbsh.ch,20
ro/gov.ro,20
prato.it,20
smsjizdenka.cz,20
oresundstag.se,20
electrouno.es,20
ilmailusaa.fi,20
chisinau.md,20
beetzendorf-diesdorf.de,20
tanea.gr,20
halifax.ca,20
223,20
gruene-fraktion-sachsen-anhalt.de,20
bcwallonie.be,20
euro.lt,20
nicusordan.ro,20
landkreis-stendal.de,20
ua/tyzhden.ua,20
portofthunderbay.ca,20
pcc-cert.pl,20
zlin.eu,20
ee/parkit.ee,20
io/autopay.io,20
bmedonline.es,20
tec.be,20
gr/stasy.gr,20
skanetrafiken.se,20
avk.ua,20
sellapersonalcredit.it,20
dynacon.pl,20
gov.sk,20
translink.ca,20
tirola.lt,20
flecken-apenburg-winterfeld.de,20
com.mt,20
mt/attorneygeneral.mt,20
dnb.nl,20
protothema.gr,20
durresport.al,20
ro/dnsc.ro,20
kuldigasnovads.lv,20
haestirettur.is,19
pienozvaigzdes.lt,19
cargo.lt,19
silnicelk.cz,19
new-chitose-airport.jp,19
finansinspektionen.se,19
creditas.cz,19
tme.eu,19
ssb.no,19
coig.pl,19
birzai.lt,19
nokta.md,19
fjordinvest.no,18
e-legitimation.se,18
thetyee.ca,18
plunge.lt,18
ourcommons.ca,18
cba.ca,18
mtlgroup.lt,18
nobshop.pl,18
connessioneinfibra.it,18
modele24.pl,18
ksus.cz,18
blrt.ee,18
sbb.ch,18
chebanca.it,18
pl/polskieradio24.pl,18
lotniskowarszawa-radom.pl,18
cartrans.lt,18
avias.ua,18
stadt-kloetze.de,18
telemach.si,18
recambiosrobot.es,18
nausicaa.fr,18
kiischpelt.lu,18
metro-rennes-metropole.fr,18
governo.it,18
gbqofs.io,18
ntcitalia.it,18
geneveid.ch,18
kettner.de,18
destinationgotland.se,18
yousee.dk,18
susuk.cz,18
fdp-fraktion-lsa.de,18
csj.md,18
teed.ee,18
cnp.be,16
europark.fi,16
czub.cz,16
susuh.cz,16
e-postbank.bg,16
eduid.ch,16
vilniausapsvietimas.lt,16
mga.de,16
no/banenorlogger.no,16
gubernija.lt,16
centern.ax,16
aeroport.fr,16
l-bank.de,16
hr/portsplit.hr,16
flygbra.se,16
elsene.be,16
lt/raskevicius.lt,16
inges.ee,16
stt.fi,16
mesto-most.cz,16
konkurransetilsynet.no,16
gr/ministryofjustice.gr,16
ch/govcert.ch,16
quarteera.de,15
bankinvest.dk,15
blue,15
toshiba,15
ldm.lt,15
cloud.dk,15
siseministeerium.ee,15
